Dec.,Hex,Signal Name,Gain (1/LSB),Offset,Full Scale,Unit,Acquisition Time (us),Comments
139,8B,AMUX_IN5 - REFDAC,1.221 m,0,5,V,46,Differential
140,8C,AMUX_IN6 - REFDAC,1.221 m,0,5,V,46,Differential
141,8D,AMUX_IN7 - REFDAC,1.221 m,0,5,V,46,Differential
142,8E,NTC_BATT - REFDAC,1.221 m,0,5,V,46,Differential
143,8F,VMID - AMUX_IN0,1.221 m,0,5,V,46,Differential
144,90,VDD_MAIN - AMUX_IN0,1.221 m,0,5,V,46,Differential
145,91,VBAT - AMUX_IN0,1.221 m,0,5,V,46,Differential
146,92,VBUCK2 - AMUX_IN0,1.221 m,0,5,V,46,Differential
147,93,VBUCK3 - AMUX_IN0,1.221 m,0,5,V,46,Differential
148,94,VLDO0 - AMUX_IN0,1.221 m,0,5,V,46,Differential
149,95,VLDO2 - AMUX_IN0,1.221 m,0,5,V,46,Differential
150,96,VLDO3 - AMUX_IN0,1.221 m,0,5,V,46,Differential
151,97,VSINK0 - AMUX_IN0,1.221 m,0,5,V,46,Differential
152,98,VSINK1 - AMUX_IN0,1.221 m,0,5,V,46,Differential
153,99,VSINK2 - AMUX_IN0,1.221 m,0,5,V,46,Differential
154,9A,AMUX_IN1 - AMUX_IN0,1.221 m,0,5,V,46,Differential
155,9B,AMUX_IN2 - AMUX_IN0,1.221 m,0,5,V,46,Differential
156,9C,AMUX_IN3 - AMUX_IN0,1.221 m,0,5,V,46,Differential
157,9D,AMUX_IN4 - AMUX_IN0,1.221 m,0,5,V,46,Differential
158,9E,AMUX_IN5 - AMUX_IN0,1.221 m,0,5,V,46,Differential
159,9F,AMUX_IN6 - AMUX_IN0,1.221 m,0,5,V,46,Differential
160,A0,AMUX_IN7 - AMUX_IN0,1.221 m,0,5,V,46,Differential
161,A1,NTC_BATT - AMUX_IN0,1.221 m,0,5,V,46,Differential
162,A2,VMID - AMUX_IN1,1.221 m,0,5,V,46,Differential
163,A3,VDD_MAIN - AMUX_IN1,1.221 m,0,5,V,46,Differential
164,A4,VBAT - AMUX_IN1,1.221 m,0,5,V,46,Differential
165,A5,VBUCK2 - AMUX_IN1,1.221 m,0,5,V,46,Differential
166,A6,VBUCK3 - AMUX_IN1,1.221 m,0,5,V,46,Differential
167,A7,VLDO0 - AMUX_IN1,1.221 m,0,5,V,46,Differential
168,A8,VLDO2 - AMUX_IN1,1.221 m,0,5,V,46,Differential
169,A9,VLDO3 - AMUX_IN1,1.221 m,0,5,V,46,Differential
170,AA,VSINK0 - AMUX_IN1,1.221 m,0,5,V,46,Differential
171,AB,VSINK1 - AMUX_IN1,1.221 m,0,5,V,46,Differential
172,AC,VSINK2 - AMUX_IN1,1.221 m,0,5,V,46,Differential
173,AD,AMUX_IN0 - AMUX_IN1,1.221 m,0,5,V,46,Differential
174,AE,AMUX_IN2 - AMUX_IN1,1.221 m,0,5,V,46,Differential
175,AF,AMUX_IN3 - AMUX_IN1,1.221 m,0,5,V,46,Differential
176,B0,AMUX_IN4 - AMUX_IN1,1.221 m,0,5,V,46,Differential
177,B1,AMUX_IN5 - AMUX_IN1,1.221 m,0,5,V,46,Differential
178,B2,AMUX_IN6 - AMUX_IN1,1.221 m,0,5,V,46,Differential
179,B3,AMUX_IN7 - AMUX_IN1,1.221 m,0,5,V,46,Differential
180,B4,NTC_BATT - AMUX_IN1,1.221 m,0,5,V,46,Differential
181,B5,VBAT_VSS,1.221 m,0,5,V,46,"Single-Ended/wrt VSS"
182,B6,NTC_BATT_VSS,1.221 m,0,5,V,46,"Single-Ended/wrt VSS"
